titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
🤖 Política de Mesa Redonda: Mejorando el Razonamiento Científico mediante Consenso Ponderado de LLMs,📂 Inteligencia Artificial,"📝 Se presenta Roundtable Policy, un framework de razonamiento que utiliza consenso ponderado de múltiples modelos de lenguaje para mejorar tareas científicas complejas. Mejora la creatividad, rigor y coherencia lógica mientras reduce alucinaciones. El enfoque es interpretable y aplicable a sistemas multi-LLM.","🎯 Consenso ponderado de múltiples LLMs, mejora razonamiento científico complejo, reduce alucinaciones, framework interpretable",🔗 https://arxiv.org/pdf/2509.16839,2025-09-23
🧠 Principios de la Máquina Consciente Similar a Humana,📂 Inteligencia Artificial,📝 Propone un criterio suficientemente independiente del sustrato para la conciencia fenoménica en máquinas. Desarrolla principios operativos para diseñar sistemas conscientes y argumenta que máquinas que satisfagan este criterio deberían considerarse tan conscientes como los humanos.,"🎯 Criterio para conciencia artificial, framework formal consciente, implicaciones filosóficas, paradigma más allá de enfoques estadísticos",🔗 https://arxiv.org/pdf/2509.16859,2025-09-23
💻 LLMs como Solvers de Optimización Combinatoria End-to-end,📂 Inteligencia Artificial,"📝 Introduce un framework donde LLMs resuelven problemas de optimización combinatoria directamente desde descripciones en lenguaje natural. Combina fine-tuning supervisado con refuerzo learning consciente de factibilidad y optimalidad, superando a métodos tradicionales.","🎯 Solvers end-to-end para optimización combinatoria, entrenamiento en dos etapas (SFT+FOARL), alta tasa de factibilidad, pipeline unificado basado en lenguaje",🔗 https://arxiv.org/pdf/2509.16865,2025-09-23
🔬 seqBench: Benchmark Tunable para Cuantificar Límites de Razonamiento Secuencial en LLMs,📂 Inteligencia Artificial,"📝 seqBench es un benchmark parametrizado que controla dimensiones de complejidad como profundidad lógica, pasos de backtracking y ratio de ruido. Revela colapso exponencial en precisión más allá de cierta profundidad en modelos actuales.","🎯 Benchmark parametrizado, control multidimensional de complejidad, leyes de escalado universales, análisis de límites de razonamiento",🔗 https://arxiv.org/pdf/2509.16866,2025-09-23
📐 LLMs como Diseñadores de Layout: Perspectiva de Razonamiento Espacial,📂 Inteligencia Artificial,"📝 LaySPA es un framework de reinforcement learning que dota a LLMs de capacidades explícitas de razonamiento espacial para diseño de layouts. Utiliza señales de recompensa híbridas para validez geométrica y calidad visual, superando a LLMs generales.","🎯 Razonamiento espacial para diseño de layouts, reinforcement learning con recompensas híbridas, optimización de arreglos espaciales, resultados comparables a modelos especializados",🔗 https://arxiv.org/pdf/2509.16891,2025-09-23
🎧 Fusión Dinámica de Modalidades Guiada por Audio para Navegación Audio-Visual,📂 Inteligencia Artificial,"📝 Propone un framework de navegación audio-visual con módulo de atención estereo-aware y fusión dinámica guiada por audio. Mejora significativamente tasas de éxito y eficiencia en entornos 3D realistas, con +40% de mejora en condiciones solo-audio.","🎯 Navegación audio-visual, atención estereo-aware, fusión dinámica de modalidades, mejora del 40% en condiciones solo-audio",🔗 https://arxiv.org/pdf/2509.16924,2025-09-23
⚛️ Abducción Cuántica: Nuevo Paradigma para Razonamiento bajo Incertidumbre,📂 Inteligencia Artificial,"📝 Introduce la abducción cuántica, paradigma no-clásico que modela hipótesis en superposición permitiendo interferencia constructiva/destructiva. Más fiel al razonamiento humano que enfoques eliminativos tradicionales, aplicable desde misterios históricos hasta diagnóstico médico.","🎯 Abducción no-clásica, hipótesis en superposición, razonamiento constructivo, aplicaciones multidisciplinares",🔗 https://arxiv.org/pdf/2509.16958,2025-09-23
📊 KAHAN: Análisis Jerárquico Aumentado por Conocimiento para Narración de Datos Financieros,📂 Inteligencia Artificial,"📝 Framework jerárquico que extrae insights de datos tabulares usando LLMs como expertos de dominio. Supera enfoques existentes en +20% en calidad narrativa, mantiene 98.2% de factualidad y se transfiere efectivamente a dominios como healthcare.","🎯 Análisis jerárquico de datos financieros, LLMs como expertos de dominio, alta factualidad, transferibilidad a otros dominios",🔗 https://arxiv.org/pdf/2509.17037,2025-09-23
🗺️ De Aprendizaje de Grafos de Puntos de Referencia a Generación de Grafos de Problemas,📂 Inteligencia Artificial,"📝 Aprende relaciones entre landmarks de múltiples tareas de planificación para crear grafos probabilísticos de ordenamiento. Estos se instancian para nuevas tareas combinando información del estado inicial y meta, mejorando la planificación automática.","🎯 Landmarks de planificación, grafos probabilísticos de ordenamiento, instanciación para tareas específicas, mejora de algoritmos de planificación",🔗 https://arxiv.org/pdf/2509.17062,2025-09-23
📍 RALLM-POI: LLM Aumentado por Retrieval para Recomendación Zero-shot de Siguiente POI,📂 Inteligencia Artificial,"📝 Framework que combina LLMs con generación aumentada por retrieval y auto-rectificación para recomendación de puntos de interés. Incluye recuperación de trayectorias históricas y reranking geográfico, logrando ganancias sustanciales de accuracy sin entrenamiento adicional.","🎯 Recomendación zero-shot de POIs, retrieval aumentado, reranking geográfico, auto-rectificación con LLMs agenticos",🔗 https://arxiv.org/pdf/2509.17066,2025-09-23
titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
🤖 Modelo de Difusión Jerárquico Consciente de la Intención para Detección de Anomalías en Trayectorias a Largo Plazo,📂 Inteligencia Artificial,"📝 Propone IHiD, método no supervisado que detecta anomalías evaluando intenciones de alto nivel y analizando sub-trayectorias de bajo nivel. Combina Inverse Q Learning con modelos de difusión para capturar la diversidad de trayectorias normales. Logra 30.2% de mejora en F1-score sobre métodos estado del arte.","🎯 Detección de anomalías en trayectorias, Modelo jerárquico con evaluación de intenciones, Combinación de Inverse Q Learning y modelos de difusión",🔗 https://arxiv.org/pdf/2509.17068,2025-09-23
🤖 Gobernanza de la Inteligencia Estratégica Automatizada,📂 Inteligencia Artificial,"📝 Analiza cómo los modelos de IA frontera automatizarán el análisis de inteligencia militar estratégica. Los modelos multimodales pueden fusionar imágenes satelitales, redes sociales y documentos en sistemas consultables. Propone taxonomía y recomendaciones para competitividad estratégica.","🎯 Inteligencia militar automatizada, Fusión de datos multimodales, Competitividad geopolítica con IA",🔗 https://arxiv.org/pdf/2509.17087,2025-09-23
🤖 MCTS-EP: Empoderamiento de la Planificación Corporizada con Optimización de Preferencias en Línea,📂 Inteligencia Artificial,"📝 Framework que combina LLMs con Búsqueda de Monte Carlo en Árbol (MCTS) para entrenar agentes corporizados. Integra exploración guiada por MCTS, razonamiento multimodal y optimización de preferencias. Logra 92% de éxito en ALFWorld y reduce pasos de interacción.","🎯 Agentes corporizados, Combinación LLM + MCTS, Optimización de preferencias en línea",🔗 https://arxiv.org/pdf/2509.17116,2025-09-23
🤖 ARE: Escalando Entornos y Evaluaciones de Agentes,📂 Inteligencia Artificial,"📝 Plataforma para creación escalable de entornos e integración de aplicaciones para orquestación de agentes. Introduce Gaia2, benchmark que mide capacidades generales de agentes con ambigüedades, entornos dinámicos y colaboración. Ejecución asíncrona revela nuevos modos de fallo.","🎯 Plataforma de evaluación de agentes, Benchmark Gaia2, Entornos asíncronos y dinámicos",🔗 https://arxiv.org/pdf/2509.17158,2025-09-23
🤖 ¿Jugamos un Juego? Modelos de Lenguaje para Wargames de Extremo Abierto,📂 Inteligencia Artificial,"📝 Revisión literaria de 100 trabajos sobre IA en wargames, construyendo ontología basada en creatividad para jugadores y árbitros. Analiza uso de LMs en juegos desde Chess hasta D&D, con consideraciones de seguridad y mejores prácticas para despliegue.","🎯 Wargames con IA, Juegos de rol y estratégicos, Consideraciones de seguridad",🔗 https://arxiv.org/pdf/2509.17192,2025-09-23
🤖 Los MoEs son más Fuertes de lo que Piensas: Escalado de Inferencia Hiper-paralelo con RoE,📂 Inteligencia Artificial,"📝 Introduce escalado hiper-paralelo, framework que mejora calidad de predicción a nivel de token en modelos MoE. RoE convierte un MoE en ensemble dinámico mediante estocasticidad controlada en el enrutamiento de expertos. Reduce 30% de cómputo manteniendo rendimiento.","🎯 Mixture of Experts, Inferencia eficiente, Escalado hiper-paralelo",🔗 https://arxiv.org/pdf/2509.17238,2025-09-23
🤖 ¿Pueden los Agentes Evaluar Revisiones Sistemáticas como Humanos? Evaluación de SLRs con Sistema Multi-Agente basado en LLM,📂 Inteligencia Artificial,"📝 Sistema multi-agente basado en LLMs para evaluar Revisiones Sistemáticas de Literatura (SLRs). Automatiza validación de protocolos, evaluación metodológica y verificación de relevancia temática. Logra 84% de concordancia con evaluaciones expertas según guías PRISMA.","🎯 Revisiones sistemáticas, Sistema multi-agente, Automatización de evaluación académica",🔗 https://arxiv.org/pdf/2509.17240,2025-09-23
🔒 Mind the Gap: Comparación de Red Teaming a Nivel de Modelo vs. Agente con Observabilidad de Grafos de Acción en GPT-OSS-20B,📂 Inteligencia Artificial,📝 Investiga diferencias entre vulnerabilidades a nivel de modelo y en sistemas agenticos. Usa framework AgentSeer para desconstruir sistemas y encuentra vulnerabilidades exclusivas de contextos agenticos. Los ataques en contextos con herramientas son 24% más efectivos.,"🎯 Seguridad de IA agentica, Red teaming comparativo, Vulnerabilidades específicas de agentes",🔗 https://arxiv.org/pdf/2509.17259,2025-09-23
🧬 CogAtom: De Átomos Cognitivos al Razonamiento Matemático de Nivel Olímpico en LLMs,📂 Inteligencia Artificial,📝 Framework basado en átomos cognitivos para sintetizar problemas matemáticos rigurosos y diversos. Modela la construcción de problemas como recombinación de unidades fundamentales de razonamiento. Genera problemas que igualan la dificultad de AIME con mayor variación estructural.,"🎯 Razonamiento matemático, Síntesis de problemas, Átomos cognitivos",🔗 https://arxiv.org/pdf/2509.17318,2025-09-23
💻 LLaVul: LLM Multimodal para Razonamiento Interpretable sobre Vulnerabilidades en Código Fuente,📂 Inteligencia Artificial,📝 Modelo multimodal especializado en razonamiento sobre vulnerabilidades de código mediante preguntas y respuestas. Integra código y consultas naturales en espacio unificado. Supera a LLMs generales y especializados en código en tareas de QA y detección de vulnerabilidades.,"🎯 Seguridad de código, LLM multimodal, Razonamiento interpretable",🔗 https://arxiv.org/pdf/2509.17337,2025-09-23
titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
🤖 Consenso de IA Médica: Un Marco Multi-Agente para Generación y Evaluación de Informes Radiológicos,📂 Inteligencia Artificial,"Se propone un framework de aprendizaje por refuerzo multi-agente que sirve como benchmark para evaluación de razonamiento clínico multimodal en radiología. Integra modelos de lenguaje y visión en una arquitectura modular con 10 agentes especializados. Demuestra implementación con ChatGPT-4o en datasets públicos, estableciendo un camino hacia generación confiable de informes radiológicos.","Arquitectura multi-agente, evaluación granular, integración LLM-LVM, benchmark clínico",🔗 https://arxiv.org/pdf/2509.17353,2025-09-23
🚗 Predicción de Intención de Cambio de Carril en Autopistas: Marco de IA Informado por Física,📂 Inteligencia Artificial,"Framework que integra cinemática vehicular, métricas de seguridad e interacción para predecir cambios de carril (izquierda, derecha, ninguno) en autopistas. LightGBM logra hasta 99.8% de precisión, superando modelos LSTM. Evaluado en escenarios rectos y complejos con rampas.","Clasificación triple, física integrada, alto rendimiento, generalización robusta",🔗 https://arxiv.org/pdf/2509.17354,2025-09-23
🔍 Correlación o Causalidad: Análisis de Estructuras Causales en Procesos de Razonamiento de LLM y LRM,📂 Inteligencia Artificial,"Estudio sistemático de capacidades causales en modelos de lenguaje y razonamiento. Revela que LRMs entrenados con RLVR mejoran razonamiento causal, reduciendo correlaciones espurias. LLMs y LRMs distilados muestran deficiencias en fundamentos causales.","Análisis causal, RLVR, reducción de sesgos, modelos de razonamiento",🔗 https://arxiv.org/pdf/2509.17380,2025-09-23
💻 Síntesis de Programas mediante Transducción en Tiempo de Prueba,📂 Inteligencia Artificial,Nueva formulación de síntesis de programas que utiliza entradas de prueba durante la síntesis para mejorar robustez. Framework de aprendizaje activo que elimina hipótesis inconsistentes mediante consultas LLM. Evalúa en transformación de strings y generación de código Python.,"Síntesis transductiva, aprendizaje activo, mejora de robustez, eficiencia en consultas",🔗 https://arxiv.org/pdf/2509.17393,2025-09-23
🏠 Evaluación de Modelos Multimodales con Tareas Compuestas en Entornos Domésticos,📂 Inteligencia Artificial,"Evaluación de 17 MLLMs líderes en tareas compuestas inspiradas en desarrollo infantil temprano. Los resultados muestran pobre desempeño en comprensión de objetos, inteligencia espacial y actividades sociales, indicando brecha significativa hacia inteligencia general.","Tareas compuestas, evaluación AGI, brecha de capacidades, entorno simulado",🔗 https://arxiv.org/pdf/2509.17425,2025-09-23
